Answer,Answer Index
Haemophilus ducreyi,3
Buspirone,3
Hyponatremia,4
Reassurance,3
Anti-intrinsic factor antibodies,2
Relapse,4
Projection,3
Oral mifepristone + misoprostol,4
Seborrheic keratosis,2
Increased residual volume and decreased 1 second forced expiratory volume,3
Lymphoma,3
Hysterosalpingogram,2
Relative lipophobicity,3
Pleural effusion,2
Nadolol,3
2-pralidoxime,3
Chronic lymphocytic leukemia (CLL),1
Opportunistic colonization,3
Dietary restriction of phenylalanine,2
A type 2 error is not possible in this case.,2
Impaired iron absorption,2
Rectal suction biopsy,4
Ewing sarcoma,3
"""I really haven't thought about the colonoscopy until today. Worrying before getting the results wasn't going to help anything.""",4
Hemoptysis,1
Disulfide bond cleavage,2
Meconium aspiration,3
Inhibiting bacterial adherance and colonization of mucous membranes,3
Opioid overdose,4
"""I have bad news I need to share with you. Please sit down so we can discuss.""",2
Slit-lamp examination,4
Vitamin B12 deficiency,3
Testing for serum ESR and autoantibodies,3
Paroxysmal atrial fibrillation,1
Pulmonic valve stenosis,4
Levofloxacin,3
Antineutrophil cytoplasmic antibodies,4
Exophthalmos,3
Abdominal radiograph,1
No treatment is necessary,4
Deficient nitrogenous base production,3
PCR positive for Chlamydia trachomatis,2
Decreased ATP,4
NH3 + HCO3- + 2 ATP --> carbamoyl phosphate + 2 ADP + Pi,1
Methotrexate,3
Administer ampicillin intrapartum,2
Tetralogy of Fallot,1
Disseminated intravascular coagulation,3
Streptococcus bovis,4
Cocaine,2
This patient's apnea-hypopnea index (AHI) is more than 5.,1
Radial traction on airway wall,3
Transfusion reaction,4
Oral morphine therapy,1
Urine porphyrin levels,3
Lysosomes,3
Decreased gastric blood flow,4
Leaden paralysis,1
"1,500 units",2
Telomerase,4
Elevated TSH,1
Low levels of parathyroid hormone in serum,1
Yolk sac tumor,4
Immediate debridement and empiric IV antibiotics,2
Physostigmine,2
A septal hematoma causing a perforation,2
Hair follicles,2
Lateral aspect of the shoulder,2
Decreased production of PGE2,1
Blocking reuptake of dopamine and norepinephrine,1
Pramipexole,2
Capillary leakage,2
Heparan sulfate,3
Acute lymphocytic leukemia,4
Papillary carcinoma,4
TH2 cells,2
Left middle cerebral,1
15%,2
Cutaneous xanthomas,2
Wide pulse pressure,2
Transformation,3
Timing of the dosing of colesevelam should be separated from this patient’s other medications.,3
1200 milligrams,3
Clostridium tetani,2
VIPoma,2
Supraspinatus,1
Chorea,3
Complete blood count,4
Interaction of B7 and CD28 ligands,1
Adrenocortical insufficiency,3
Ketamine,1
Deficiency of ATP,3
Propranolol,4
Constriction of afferent arteriole and no effect on efferent arteriole,1
It competes with acetylcholine for binding sites in the neuromuscular junction,4
Hereditary angioedema,4
Oral glucose challenge test,1
Glutamate capsule,1
Fecal incontinence,3
Pancreatic islet cell amyloid deposition,2
Phyllodes tumor,1
Zenker's diverticulum,4
Intravenous immunoglobulin (IVIG),1
Blocks reuptake of norepinephrine and serotonin,4
"Low-dose, no change in ACTH; high-dose, decreased ACTH",4
Methadone,3
Lambert-Eaton syndrome,4
Inquire why the patient's daughter feels her mother should not be informed of the diagnosis,2
Erythroblasts with mitochondrial iron deposits,1
Amiodarone,1
Medial longitudinal fasciculus,4
Decreased release of glycine,3
Degenerative disease of the joints,4
Bullous pemphigoid,2
Rest and acetaminophen,1
Passage of a catheter through the nasal cavity not possible,4
Increased Ca2+ influx in phase 4,1
Cranial ultrasonography,2
Hypertrophic cardiomyopathy,3
No specific management required,2
Benign salivary gland tumor composed of stromal and epithelial tissue,2
Reassure the mother,3
Sacubitril,3
Advanced sleep phase disorder,2
Dual-energy x-ray bone absorptiometry,2
Minimal change disease,3
Rectus abdominis,3
Type IV–cell-mediated (delayed) hypersensitivity reaction,3
Colorectal cancer,3
46XX,4
Autosomal dominant,1
Enlarges hemolytic area of Staphylococcus aureus,1
Rationalization,1
Viral core antibody,3
Increased capillary hydrostatic pressure,3
The vascular protrusion drains into the superior rectal vein.,2
Adenoma,1
Cyclothymic disorder,2
Increased lung compliance,1
He will have pain with inversion and eversion of his foot.,3
Amphotericin B and flucytosine,2
Low-density lipoprotein,3
Villous atrophy and crypt hypertrophy,3
Avoidant personality disorder,3
Vaccination,4
Adverse effect of anesthetic,3
Hemolytic transfusion reaction; discontinue transfusion,4
Amitriptyline,3
Papilledema,3
Monosodium urate,3
Pes anserine bursitis,4
Mifepristone,3
Demyelination of the medial longitudinal fasciculus,1
Cilostazol,1
Thoracic aortic aneurysm,4
Flagellated protozoa,4
NSAIDs,3
Corneal reflex test,4
Adhesive pili,3
Brownish inclusions in the pulmonary macrophages on H&E staining,1
Analysis of variance,3
Propranolol,1
Left frontal lobe,1
Dilation of the intracerebral arterioles,4
"Tetanus, diphtheria, and acellular pertussis booster (Tdap) vaccine",2
Gram-negative bacilli,1
Increased breakdown of intracellular RNA,4
HLA-A3,4
Gluten-free diet,3
Cell injury due to drug metabolites,4
Can be transmitted on medical equipment even after autoclaving instruments,1
Hypoparathyroidism,2
Diminished ovarian reserve,2
N-acetylcysteine,1
Gonadal mosaicism,3
High TSH,3
Fibroadenoma,1
Respect the patient's written instructions and do not adminster a blood transfusion,3
Increase the frequency of blood glucose checks.,1
Hyperplasia,1
Reassurance and follow-up,2
No further intervention,1
Ventricular septal defect,1
Lipodystrophy,2
Overflow proteinuria,1
T-score of -1.6,4
Corynebacterium diphtheriae,4
Lysosomal acid maltase,3
Granulocyte-macrophage colony-stimulating factor,4
ANA and anti-dsDNA levels,4
Bacteroides fragilis,1
Psoriatic arthritis,3
Required for dehydrogenase enzymes,2
Sentinel node - right lumbar trunk - cisterna chyli - thoracic duct - left subclavian vein - systemic circulation,4
Granulation tissue,2
Angiotensin-converting-enzyme inhibitor (ACEI),1
Abnormal CFTR protein,2
Fluoxetine,3
Endocardial cushion,1
Tumor necrosis factor-α,1
Eosinophilic esophagitis,3
Exertional heat stroke,1
Impaired methylation of myelin phospholipids,3
Reassurance,4
Sofosbuvir and simeprevir,1
Silent thyroiditis,3
Anti-cyclic citrullinated peptide (anti-CCP) antibody,2
Increased serum amyloid A production,4
Copper,2
Gram-positive bacteria producing exotoxin that acts via ADP ribosylation,2
Syringomyelia,3
Increased creatine kinase concentration,1
Hyperplasia of the adrenal cortex,4
Hyperplasia of juxtaglomerular cells,1
Hyperbaric oxygen therapy,2
Right main,4
Formation of noncaseating granulomas,3
Osteitis deformans,2
Dantrolene,1
Double-positive T cell,2
Posttraumatic stress disorder,3
Elastase,4
Rosiglitazone,3
Cognitive-behavioral therapy,1
"Trimethoprim, sulfamethoxazole, azithromycin",3
Is transmitted by air conditioning,4
Radiograph of the wrist,1
Clomiphene therapy,3
Acute inferior myocardial infarction,3
Request further information about which drugs he has taken recently and in the past,2
Botox,1
Intravenous vancomycin therapy,2
Iron deficiency,3
Pancreas,1
Bupropion lowers the seizure threshold and it should not be taken by patients with a history of seizure disorder.,3
“I'm sorry for your loss. This must be a difficult situation for you.”,1
Iron deficiency,4
67%,1
Cell wall inhibitor,2
A 9-month-old boy who has had recurrent otitis media and pneumococcal pneumonia in the past three months,4
Affective symptoms,1
Decreased activity of UDP-glucuronosyltransferase,3
Hypercellular areas of spindle cells and hypocellular areas of myxoid stroma,3
Decreasing sodium intake,2
Propranolol therapy,4
Recipient T-cells in the graft,1
Proton-pump inhibitors,1
Cardiac contusion,1
Broad and waxy casts,4
Upper gastointestinal endoscopy,2
Echocardiography,3
Glycine,1
Anion gap metabolic acidosis,1
Nasal congestion due to a viral infection,3
"Hepatocytes with shrunken, eosinophilic cytoplasm and pyknotic nuclei",1
Punctate bleeding spots when dermatologic scales are removed,4
Proper diet and iron supplementation,2
Phenoxybenzamine,4
Decreased heart rate,3
Craniopharyngioma,2
"Administer betamethasone, ampicillin, and proceed with cesarean section",3
Lysosomal enzymes,4
The future risk of open-angle glaucoma is the same in patients with and those without diabetes,1
A type 1 error occurs when the null hypothesis is true but is rejected in error.,1
Myocardial infarction,1
Incision and drainage,2
9/100,1
Multiple endocrine neoplasia (MEN) 2A,2
Increased alveolar-arterial gradient,1
Protein S deficiency,3
Epstein barr virus (EBV),3
X-linked recessive,1
"Deep vein thrombosis
""",4
Mefloquine,2
MEN1,4
Insulin production by the pancreas is insufficient for exenatide to be effective.,1
Mesothelioma,2
Blood glucose and cholesterol level measurements,3
480 mL,1
Prednisone,4
Progestin therapy,4
Efavirenz,1
Ixodes scapularis,1
Simvastatin,2
Scalded skin syndrome,2
Lichen sclerosus,2
Bilateral miosis,1
Laparoscopy,1
Arteriovenous malformation in the colonic wall,4
Vasovagal syncope,1
Apply a simple shoulder sling,2
Direct activation of dopamine receptors,2
Retinoic acid,3
Blocking antibody attack on the O antigen,2
Ventricular shunting,1
Surgical fusion of C1/C2,2
Delirium,2
Nifedipine,3
Plasmodium falciparum,2
Thyroid-stimulating hormone (TSH),4
Medication abuse,4
Stop evening exercise,2
Schizotypal personality disorder,3
Chronic obstructive pulmonary disease (COPD),3
